Date,Country,City,State,Shape,Summary,lat,lon
16-09-12-21-30,USA,Kingman,AZ,Triangle,REDACTED,35.189443,-114.0530064
16-09-12-20-30,USA,Fredericksburg,VA,Circle,REDACTED,38.3031837,-77.4605398
16-09-12-19-30,USA,Lancing,TN,Diamond,REDACTED,36.1206306,-84.6538307
16-09-12-19-00,USA,Tewksbury,MA,Triangle,REDACTED,42.6106479,-71.2342247
16-09-12-16-30,USA,Newport,ME,Disk,REDACTED,44.8353424,-69.2739364
16-09-12-05-25,CANADA,Truro,NS,Oval,REDACTED,45.366668,-63.3000059
16-08-12-19-30,USA,Jerseyville,IL,Triangle,REDACTED,39.1200471,-90.3284478
16-08-12-17-30,USA,St. Clair,MO,Light,REDACTED,38.0592942,-93.7945455
16-08-12-17-15,USA,Cromwell,CT,Circle,REDACTED,41.2861336,-72.3557585
16-08-12-16-00,USA,Atlanta,GA,Sphere,REDACTED,33.7490987,-84.3901848
16-07-12-00-00,USA,Saint Augustine,FL,Circle,REDACTED,29.8946952,-81.3145394
16-07-12-23-30,USA,Anchorage,AK,Flash,REDACTED,61.2163129,-149.8948522
16-07-12-22-50,USA,Napili,HI,Fireball,REDACTED,20.9717546,-156.6756045
16-07-12-22-10,USA,Bellingham,WA,Fireball,REDACTED,48.754402,-122.4788601
16-07-12-19-15,USA,Snellville,GA,Circle,REDACTED,33.857328,-84.0199107
16-07-12-18-53,USA,Las Vegas,NV,Other,REDACTED,36.1662859,-115.1492249
16-07-12-18-20,USA,Riverdale,GA,Cylinder,REDACTED,33.5726113,-84.4132593
16-07-12-18-00,USA,Plymouth,MA,Light,REDACTED,41.9584367,-70.6672576
16-07-12-07-00,USA,Orlando,FL,Fireball,REDACTED,28.5479786,-81.4127841
16-06-12-20-45,USA,High Point,NC,Other,REDACTED,35.9556924,-80.0053175
16-06-12-19-15,USA,Austin,NV,Fireball,REDACTED,39.4932592,-117.0695385
16-06-12-19-00,USA,Austin,NV,Other,REDACTED,39.4932592,-117.0695385
16-06-12-18-00,USA,Nairn,LA,Formation,REDACTED,29.4279955,-89.6108946
16-06-12-17-30,USA,Holland,PA,Sphere,REDACTED,40.1728871,-74.9926687
16-06-12-17-00,USA,Manhattan,NY,Unknown,REDACTED,40.7902778,-73.9597221
16-06-12-13-15,USA,Lake Jackson,TX,Unknown,REDACTED,29.0338575,-95.4343858
16-06-12-07-15,USA,Union,IL,Chevron,REDACTED,37.4616454,-89.2504792
16-06-12-05-00,USA,Osterville,MA,Light,REDACTED,41.6293398,-70.3866805
16-06-12-01-40,USA,Sunrise,FL,Circle,REDACTED,26.1482449,-80.3288858
16-05-12-22-40,CANADA,Regina,SK,Light,REDACTED,50.4480951,-104.615818
16-05-12-20-05,USA,Niantic,CT,Triangle,REDACTED,32.7809195,-117.2524695
16-05-12-18-39,USA,Ivins,UT,Circle,REDACTED,37.1685907,-113.6794056
16-05-12-18-15,USA,Haskell,NJ,Triangle,REDACTED,41.0284304,-74.2959822
16-05-12-18-00,USA,Westmoreland,NH,Disk,REDACTED,42.9620253,-72.4423101
16-05-12-17-40,CANADA,Keswick,ON,Unknown,REDACTED,44.2278666,-79.46145
16-05-12-16-00,USA,Elizabethtown,PA,Changing,REDACTED,40.153364,-76.604252
16-05-12-04-00,USA,Webster,NY,Unknown,REDACTED,43.2122851,-77.4299938
16-05-12-03-30,USA,Stratford,CT,Light,REDACTED,37.2584705,-79.9622598
16-05-12-01-40,USA,La Pine,OR,Fireball,REDACTED,43.6703995,-121.5036359
16-04-12-23-10,USA,Sauk Rapids,MN,Triangle,REDACTED,45.5919097,-94.166101
16-04-12-22-40,USA,Huntington Beach,CA,Chevron,REDACTED,33.6783336,-118.0000165
16-04-12-20-00,USA,Freeport,ME,Diamond,REDACTED,43.857307,-70.1037599
16-04-12-19-32,USA,Sioux Falls,SD,Light,REDACTED,43.5499749,-96.7003269
16-04-12-19-10,USA,Arcade,GA,Circle,REDACTED,34.0778881,-83.5615535
16-04-12-19-00,USA,Redwood Falls,MN,Circle,REDACTED,44.5393721,-95.1164477
16-04-12-18-15,USA,Brinklow,MD,Circle,REDACTED,39.1659403,-77.0155329
16-04-12-18-00,USA,Winter Harbor,ME,Disk,REDACTED,44.395523,-68.0836489
16-04-12-17-30,USA,Severn,MD,Light,REDACTED,39.127886,-76.6869129
16-04-12-15-03,USA,Mission Viejo,CA,Light,REDACTED,33.5965685,-117.6594049
16-04-12-14-16,USA,Marana,AZ,Unknown,REDACTED,32.4446988,-111.215709
16-04-12-12-10,CANADA,London,ON,Other,REDACTED,42.988576,-81.2466429
16-03-12-23-37,USA,Matawan,NJ,Flash,REDACTED,40.41483,-74.229589
16-03-12-21-00,USA,Morgantown,WV,Light,REDACTED,39.6296809,-79.9559436
16-03-12-19-30,USA,Corte Madera,CA,Disk,REDACTED,37.9254806,-122.5274754
16-03-12-18-15,USA,Boone Grove,IN,Disk,REDACTED,41.3547602,-87.1294741
16-03-12-18-00,USA,Rockville,MD,Oval,REDACTED,39.0840054,-77.1527572
16-03-12-17-15,USA,North Snohomish,WA,Formation,REDACTED,47.9394115,-122.0779886
16-03-12-16-00,USA,Whittier,CA,Formation,REDACTED,33.9748932,-118.0336974
16-03-12-16-00,USA,Santa Cruz,CA,Light,REDACTED,36.9735903,-122.0260569
16-03-12-14-00,USA,Gorham,ME,Unknown,REDACTED,43.6796943,-70.4429341
16-02-12-22-00,USA,Philadelphia,PA,Light,REDACTED,39.9523993,-75.1635898
16-02-12-20-00,USA,Reidsville,NC,Light,REDACTED,36.354859,-79.6644749
16-02-12-18-00,USA,Raphine,VA,Circle,REDACTED,37.9373548,-79.2328101
16-02-12-17-13,USA,Chester,VA,Other,REDACTED,37.3569086,-77.4421817
16-02-12-17-00,USA,Ashland,VA,Unknown,REDACTED,37.7594012,-77.4806602
16-02-12-09-26,USA,Snellville,GA,Triangle,REDACTED,33.857328,-84.0199107
16-01-12-20-35,USA,Plainville,CT,Circle,REDACTED,41.6745432,-72.8581557
16-01-12-19-45,USA,Portland,TN,Light,REDACTED,36.5817089,-86.5163832
16-01-12-18-52,USA,Glendale,AZ,Light,REDACTED,33.5389854,-112.1858156
16-01-12-18-45,USA,Conway,SC,Formation,REDACTED,33.8360035,-79.0478142
16-01-12-18-17,USA,San Bernardino,CA,Light,REDACTED,34.1083449,-117.2897651
16-01-12-18-00,USA,Amherst,NY,Oval,REDACTED,42.9783924,-78.7997615
